track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",0.071,0.164,Tchaikovsky: Swan Lake,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt,1976-01-01,68
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",0.151,0.00527,"Beethoven: Piano Sonatas, Vol.3",https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,2007-09-25,68
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",0.036,0.449,In A Time Lapse,https://api.spotify.com/v1/tracks/1BncfTJAWxrsxyT9culBrj,2013-01-01,75
HIM ALL ALONG,Gunna,0.506,0.507,HIM ALL ALONG,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl,2024-10-18,76
Leave Me Alone,BigXthaPlug,0.374,0.802,TAKE CARE,https://api.spotify.com/v1/tracks/4CkbpelT92r4dVkceDX9g1,2024-10-11,71
PLUTOSKI,Future,0.15,0.533,MIXTAPE PLUTO,https://api.spotify.com/v1/tracks/2t4H61OtTYgmDe61KxkjKH,2024-09-20,73
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",0.68,0.684,GLORIOUS,https://api.spotify.com/v1/tracks/5xeSd4HgzrYpNLEf3LfYLK,2024-10-11,78
Insecurities,Lil Baby,0.186,0.642,Insecurities,https://api.spotify.com/v1/tracks/6afQ4fJDJ9QqU5BKIH99Ej,2024-11-15,70
Gang Baby,NLE Choppa,0.484,0.699,SLUT SZN,https://api.spotify.com/v1/tracks/76Ku9OBFK1NjMylR8r4WLK,2024-09-27,72
Help Me,Real Boston Richey,0.564,0.709,Help Me,https://api.spotify.com/v1/tracks/487JCvAXVblflZyDJn3fSp,2024-05-31,73
No Face,Drake,0.471,0.69,No Face,https://api.spotify.com/v1/tracks/1560osUcXrnov6yuOjXvc1,2024-08-31,78
LIL DEMON,Future,0.301,0.754,MIXTAPE PLUTO,https://api.spotify.com/v1/tracks/3aCPResPDNae3pXTocGpYe,2024-09-20,77
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",0.089,0.4,Mr. Skii,https://api.spotify.com/v1/tracks/62oLxos6R04SVYL1lXidvu,2024-08-22,69
